Image,PlateText,Confidence,BBox,SavedImage
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/1007335.jpg","CF76904",0.9925480461926103,"666,818,987,940","results/all_plates/b4302ed484a2.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/1342295.jpg","2061026",0.4304740402215845,"280,261,457,334","results/all_plates/36cd7c365800.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/1161297.jpg","DL86430VAOFO",0.7284574672582839,"442,639,797,803","results/all_plates/4d3ba809756b.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/1030412.jpg","EE82996",0.9830420545026459,"248,395,536,541","results/all_plates/7b2056b2193e.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/1161297.jpg","DL86430VAOFO",0.7284574672582839,"442,639,797,803",""
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/1007405.jpg","AA5951",0.9105483293533325,"442,453,761,627","results/all_plates/cf18597bfb54.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/972429.jpg","BT92118",0.8175502458775744,"778,720,1068,867","results/all_plates/ae7cb2e2a2d8.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Bahrain/769019.jpg","138998",0.8455622698811552,"636,622,963,751","results/all_plates/3391eb8e74b2.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Bahrain/1004217.jpg","338203",0.06681079648392876,"121,529,285,662","results/all_plates/ca940f553b0d.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Bahrain/830503.jpg","300003",0.5627433330661674,"162,523,447,668","results/all_plates/2ce86126d986.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Bahrain/1004429.jpg","82728",0.9992234749067122,"986,570,1201,729","results/all_plates/4f1e9f8c70ad.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Bahrain/1232502.jpg","829853",0.4671761026417342,"300,575,554,755","results/all_plates/67d27a0326a0.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Bahrain/1004437.jpg","Not Found",0.0,"281,433,484,607","results/all_plates/288b5cd44984.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Bahrain/830510.jpg","225",0.4513465185571947,"285,487,626,644","results/all_plates/51f49ec63127.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Bahrain/769042.jpg","20320",0.30061862095267106,"786,599,1012,713","results/all_plates/7bd5b7c8bfa1.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Bahrain/1004429.jpg","82728",0.9992234749067122,"986,570,1201,729","results/all_plates/4f1e9f8c70ad.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Bahrain/831502.jpg","2979",0.9966418743133545,"998,682,1237,822","results/all_plates/bf65d180cd51.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Bahrain/769019.jpg","138998",0.8455622698811552,"636,622,963,751","results/all_plates/3391eb8e74b2.jpg"
"D:/5th sem project/dip/LicensePlateDetection/media/p1.jpg","C4LAFR024",0.999014871066524,"13,55,210,165","results/all_plates/2f16d1b8d131.jpg"
"D:/5th sem project/dip/LicensePlateDetection/media/p2.png","DAOCHSTANABE1234QVETTA",0.4309226963343292,"0,0,518,285","results/all_plates/0d6646c33159.jpg"
"D:/5th sem project/dip/LicensePlateDetection/media/p2.png","DAOCHSTANABE1234QVETTA",0.4309226963343292,"0,0,518,285",""
"D:/5th sem project/dip/LicensePlateDetection/media/p3.jpg","LER201234",0.9999900460243225,"0,0,302,166","results/all_plates/98c17f06cca1.jpg"
"D:/5th sem project/dip/LicensePlateDetection/media/p1.jpg","C4LAFR024",0.999014871066524,"13,55,210,165",""
"D:/5th sem project/dip/LicensePlateDetection/media/p1.jpg","C4LAFR024",0.999014871066524,"13,55,210,165",""
"D:/5th sem project/dip/LicensePlateDetection/media/p1.jpg","C4LAFR024",0.999014871066524,"13,55,210,165",""
"D:/5th sem project/dip/LicensePlateDetection/media/p1.jpg","C4LAFR024",0.999014871066524,"13,55,210,165",""
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Bahrain/769042.jpg","20320",0.30061862095267106,"786,599,1012,713",""
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Bahrain/769042.jpg","20320",0.30061862095267106,"786,599,1012,713",""
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Bahrain/769901.jpg","600520",0.6279034130249489,"404,405,664,595","results/all_plates/11e25455c1be.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Bahrain/769901.jpg","600520",0.6279034130249489,"404,405,664,595","results/all_plates/11e25455c1be.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/972408.jpg","MO",0.1664674601608682,"984,585,1164,697","results/all_plates/ea7cb2d1df55.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Bahrain/769923.jpg","352502",0.6569281491575801,"815,582,1146,740","results/all_plates/0c5f20b10992.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/972486.jpg","XK30060",0.9998835124463819,"602,721,947,900","results/all_plates/edbbeee6acdd.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/1007405.jpg","AA5951",0.9105483293533325,"442,453,761,627","results/all_plates/cf18597bfb54.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/972655.jpg","UJV30814",0.19848908425713632,"632,719,937,880","results/all_plates/c7e8d3f178b0.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/972655.jpg","UJV30814",0.19848908425713632,"632,719,937,880",""
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/816223.jpg","KH68012",0.1890580766810671,"709,597,975,716","results/all_plates/2a4b6df75cb6.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/972404.jpg","CH419859",0.6374180024534829,"752,684,1050,827","results/all_plates/bcee1cf365c4.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/972404.jpg","CH419859",0.6374180024534829,"752,684,1050,827",""
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/972404.jpg","CH419859",0.6374180024534829,"752,684,1050,827",""
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/972456.jpg","DR79108",0.9979348395019972,"752,708,1081,869","results/all_plates/4eac7d8a3ba0.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/972486.jpg","XK30060",0.9998835124463819,"602,721,947,900",""
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/972486.jpg","XK30060",0.9998835124463819,"602,721,947,900",""
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/973344.jpg","LY88480",0.49952101485766287,"823,404,1072,538","results/all_plates/8912008416ae.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/973344.jpg","LY88480",0.49952101485766287,"823,404,1072,538",""
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/996307.jpg","LH48940",0.891843761073338,"981,585,1228,716","results/all_plates/a3a706549d19.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/972404.jpg","CH419859",0.6374180024534829,"752,684,1050,827",""
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/816223.jpg","KH68012",0.1890580766810671,"709,597,975,716","results/all_plates/2a4b6df75cb6.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/972404.jpg","CH419859",0.6374180024534829,"752,684,1050,827","results/all_plates/bcee1cf365c4.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/816223.jpg","KH68012",0.1890580766810671,"709,597,975,716","results/all_plates/2a4b6df75cb6.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/972486.jpg","XK30060",0.9998835124463819,"602,721,947,900","results/all_plates/edbbeee6acdd.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/973344.jpg","LY88480",0.49952101485766287,"823,404,1072,538","results/all_plates/8912008416ae.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/1007335.jpg","CF76904",0.9925480461926103,"666,818,987,940","results/all_plates/b4302ed484a2.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/972456.jpg","DR79108",0.9979348395019972,"752,708,1081,869","results/all_plates/4eac7d8a3ba0.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/996307.jpg","LH48940",0.891843761073338,"981,585,1228,716","results/all_plates/a3a706549d19.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/996307.jpg","LH48940",0.891843761073338,"981,585,1228,716",""
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/972486.jpg","XK30060",0.9998835124463819,"602,721,947,900","results/all_plates/edbbeee6acdd.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/972456.jpg","DR79108",0.9979348395019972,"752,708,1081,869","results/all_plates/4eac7d8a3ba0.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/816223.jpg","KH68012",0.1890580766810671,"709,597,975,716","results/all_plates/2a4b6df75cb6.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/816223.jpg","KH68012",0.1890580766810671,"709,597,975,716",""
"D:/5th sem project/dip/LicensePlateDetection/media/p2.png","DAOCHSTANABE1234QVETTA",0.4309226963343292,"0,0,518,285","results/all_plates/0d6646c33159.jpg"
"D:/5th sem project/dip/LicensePlateDetection/media/p3.jpg","LER201234",0.9999900460243225,"0,0,302,166","results/all_plates/98c17f06cca1.jpg"
"D:/5th sem project/dip/LicensePlateDetection/media/p3.jpg","LER201234",0.9999900460243225,"0,0,302,166",""
"D:/5th sem project/dip/LicensePlateDetection/media/p1.jpg","C4LAFR024",0.999014871066524,"13,55,210,165","results/all_plates/2f16d1b8d131.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0970.JPG","LUR5A56",0.4220016300678253,"480,534,679,670","results/all_plates/0bd036081721.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0970.JPG","LUR5A56",0.4220016300678253,"480,534,679,670",""
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0979.JPG","BRA4408",0.46821313315140256,"762,512,988,662","results/all_plates/b5c6728d7495.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0979.JPG","BRA4408",0.46821313315140256,"762,512,988,662",""
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_1028.JPG","LEA2363",0.9981932640075684,"1247,1356,1822,1727","results/all_plates/109b70a550f7.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_1028.JPG","LEA2363",0.9981932640075684,"1247,1356,1822,1727",""
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_1028.JPG","LEA2363",0.9981932640075684,"1247,1356,1822,1727",""
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0975.JPG","LET5280",0.44002768858441826,"710,1439,1055,1642","results/all_plates/e34e5535aa3e.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0973x.jpg","BFM7314",0.1179737494990021,"473,517,713,686","results/all_plates/1a4c62cd5c95.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0968.JPG","DA4950",0.3572300672531128,"386,440,542,567","results/all_plates/202fa614c02e.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0969.JPG","A1085",0.09647513180971146,"406,421,556,543","results/all_plates/d2375bcc6456.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0970.JPG","LUR5A56",0.4220016300678253,"480,534,679,670",""
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0971.JPG","R287",0.49911022186279297,"344,518,583,656","results/all_plates/265213357cbf.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0971x.jpg","BAA2200",0.5991891026496887,"252,409,415,537","results/all_plates/0d2f86a1934c.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0973.JPG","MNDL64",0.2190630916790647,"414,617,631,785","results/all_plates/f460a31910f2.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0973x.jpg","BFM7314",0.1179737494990021,"473,517,713,686",""
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0973x.jpg","BFM7314",0.1179737494990021,"473,517,713,686",""
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0968.JPG","DA4950",0.3572300672531128,"386,440,542,567","results/all_plates/202fa614c02e.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0968.JPG","LEA1061856",0.9999595284461975,"386,440,542,567","results/all_plates/202fa614c02e.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0969.JPG","MNAO83685",0.9999896287918091,"406,421,556,543","results/all_plates/d2375bcc6456.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0970.JPG","LHK5856",0.7230518460273743,"480,534,679,670","results/all_plates/0bd036081721.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0971.JPG","RUIFLAVR287",0.9950989162417794,"344,518,583,656","results/all_plates/265213357cbf.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0971.JPG","RUIFLAVR287",0.9950989162417794,"344,518,583,656",""
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0971x.jpg","MNA082206",0.9996929756909655,"252,409,415,537","results/all_plates/0d2f86a1934c.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0971x.jpg","MNA082206",0.9996929756909655,"252,409,415,537",""
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0973.JPG","MND15464",0.9995932522882456,"414,617,631,785","results/all_plates/f460a31910f2.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0971x.jpg","MNA082206",0.9996929756909655,"252,409,415,537",""
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0973x.jpg","BFM7315N0R",0.6597014249866614,"473,517,713,686","results/all_plates/1a4c62cd5c95.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0975.JPG","LETS5280",0.9899521570298639,"710,1439,1055,1642","results/all_plates/e34e5535aa3e.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0975.JPG","LETS5280",0.9899521570298639,"710,1439,1055,1642",""
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0977.JPG","LEF2640",0.9608700542033858,"579,529,796,682","results/all_plates/535a396bc096.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0982.JPG","LEB181194",0.9959454217894229,"625,528,789,658","results/all_plates/a9d1870c8e58.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0998.JPG","MNJ14708",0.999778151512146,"442,624,668,798","results/all_plates/e8429fe95730.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0988.JPG","CHAIRHANICYX81415LAHA8AD",0.9766745567321777,"1577,1106,2054,1443","results/all_plates/5c52e97f640d.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0988.JPG","CHAIRHANICYX81415LAHA8AD",0.9766745567321777,"1577,1106,2054,1443",""
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0988.JPG","CHAIRHANICYX81415LAHA8AD",0.9766745567321777,"1577,1106,2054,1443",""
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0968.JPG","LEA1061856",0.9999595284461975,"386,440,542,567","results/all_plates/202fa614c02e.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0973x.jpg","BFM7315N0R",0.6597014249866614,"473,517,713,686","results/all_plates/1a4c62cd5c95.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0975.JPG","LETS5280",0.9899521570298639,"710,1439,1055,1642","results/all_plates/e34e5535aa3e.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0985.JPG","MN484",0.9985337732922841,"470,450,703,588","results/all_plates/9c61d79d93ce.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0983.JPG","MNE17103",0.9992995956000674,"534,449,689,570","results/all_plates/3a03cafd3254.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive/Pakistani License Number Plates Data/Cars/DSC_0998.JPG","MNJ14708",0.999778151512146,"442,624,668,798","results/all_plates/e8429fe95730.jpg"
